央视,#genre#
CCTV10,http://60.223.255.143:8800/hls/10/index.m3u8
CCTV10,http://60.223.255.143:8800/hls/68/index.m3u8
CCTV11,http://60.9.236.52:50003/hls/11/index.m3u8
CCTV11,http://60.223.255.143:8800/hls/69/index.m3u8
CCTV11,http://123.10.77.222:808/hls/11/index.m3u8
CCTV11,http://58.17.48.228:808/hls/11/index.m3u8
CCTV11,http://123.10.79.123:808/hls/11/index.m3u8
CCTV11,http://114.104.171.233:20080/hls/49/index.m3u8
CCTV11,http://110.241.190.7:808/hls/11/index.m3u8
CCTV11,http://60.223.255.143:8800/hls/11/index.m3u8
CCTV12,http://60.223.255.143:8800/hls/70/index.m3u8
CCTV12,http://110.52.8.56:808/hls/13/index.m3u8
CCTV12,http://114.104.171.233:20080/hls/12/index.m3u8
CCTV12,http://123.10.79.100:808/hls/12/index.m3u8
CCTV12,http://123.10.79.123:808/hls/12/index.m3u8
CCTV12,http://58.17.48.228:808/hls/12/index.m3u8
CCTV12,http://123.10.77.222:808/hls/12/index.m3u8
CCTV12,http://60.9.236.52:50003/hls/12/index.m3u8
CCTV12,http://60.223.255.143:8800/hls/12/index.m3u8
CCTV13,http://58.17.48.228:808/hls/13/index.m3u8
CCTV13,http://123.10.77.222:808/hls/13/index.m3u8
CCTV13,http://123.10.79.100:808/hls/13/index.m3u8
CCTV13,http://123.10.79.123:808/hls/13/index.m3u8
CCTV13,http://114.104.171.233:20080/hls/50/index.m3u8
CCTV13,http://60.9.236.52:50003/hls/13/index.m3u8
CCTV13,http://60.223.255.143:8800/hls/13/index.m3u8
CCTV13,http://60.223.255.143:8800/hls/71/index.m3u8
CCTV14,http://123.10.79.100:808/hls/14/index.m3u8
CCTV14,http://123.10.79.123:808/hls/14/index.m3u8
CCTV14,http://58.17.48.228:808/hls/14/index.m3u8
CCTV14,http://114.104.171.233:20080/hls/13/index.m3u8
CCTV14,http://110.52.8.56:808/hls/15/index.m3u8
CCTV14,http://42.225.145.60:8089/hls/14/index.m3u8
CCTV14,http://60.9.236.52:50003/hls/14/index.m3u8
CCTV14,http://60.223.255.143:8800/hls/14/index.m3u8
CCTV14,http://60.223.255.143:8800/hls/72/index.m3u8
CCTV15,http://60.223.255.143:8800/hls/73/index.m3u8
CCTV15,http://123.10.77.222:808/hls/15/index.m3u8
CCTV15,http://123.10.79.123:808/hls/15/index.m3u8
CCTV15,http://58.17.48.228:808/hls/15/index.m3u8
CCTV15,http://114.104.171.233:20080/hls/51/index.m3u8
CCTV15,http://110.52.8.56:808/hls/16/index.m3u8
CCTV15,http://110.241.190.7:808/hls/15/index.m3u8
CCTV15,http://60.223.255.143:8800/hls/15/index.m3u8
CCTV16,http://60.223.255.143:8800/hls/129/index.m3u8
CCTV16外语,http://110.241.190.7:808/hls/16/index.m3u8
CCTV17,http://58.17.48.228:808/hls/7/index.m3u8
CCTV17,http://60.9.236.52:50003/hls/17/index.m3u8
CCTV17,http://60.223.255.143:8800/hls/130/index.m3u8
CCTV兵器科技,http://60.223.255.143:8800/hls/38/index.m3u8
CCTV精品,http://60.223.255.143:8800/hls/42/index.m3u8

卫视,#genre#
东南卫视,http://182.123.78.91:8090/hls/33/index.m3u8
东南卫视,http://114.104.171.233:20080/hls/18/index.m3u8
东南卫视,http://60.9.236.52:50003/hls/53/index.m3u8
东方卫视,http://60.223.255.143:8800/hls/23/index.m3u8
东方卫视,http://60.9.236.52:50003/hls/39/index.m3u8
东方卫视,http://60.223.255.143:8800/hls/117/index.m3u8
东方卫视,http://114.104.171.233:20080/hls/48/index.m3u8
东方卫视,http://123.10.79.100:808/hls/37/index.m3u8
东方卫视,http://123.10.79.123:808/hls/37/index.m3u8
东方卫视,http://58.17.48.228:808/hls/33/index.m3u8
东方卫视,http://123.10.77.222:808/hls/37/index.m3u8
东方卫视,http://110.241.190.7:808/hls/32/index.m3u8
云南卫视,http://60.9.236.52:50003/hls/55/index.m3u8
云南卫视,http://123.10.79.123:808/hls/46/index.m3u8
云南卫视,http://58.17.48.228:808/hls/46/index.m3u8
云南卫视,http://123.10.77.222:808/hls/46/index.m3u8
云南卫视,http://60.223.255.143:8800/hls/102/index.m3u8
兵团卫视,http://58.17.48.228:808/hls/62/index.m3u8
兵团卫视,http://114.104.171.233:20080/hls/42/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/60/index.m3u8
内蒙古卫视,http://60.9.236.52:50003/hls/59/index.m3u8
内蒙古卫视,http://114.104.171.233:20080/hls/41/index.m3u8
内蒙古卫视,http://110.241.190.7:808/hls/39/index.m3u8
内蒙古卫视,http://60.223.255.143:8800/hls/96/index.m3u8
北京卫视,http://114.104.171.233:20080/hls/19/index.m3u8
北京卫视,http://123.10.79.123:808/hls/36/index.m3u8
北京卫视,http://58.17.48.228:808/hls/35/index.m3u8
北京卫视,http://123.10.77.222:808/hls/36/index.m3u8
北京卫视,http://42.225.145.60:8089/hls/33/index.m3u8
北京卫视,http://60.9.236.52:50003/hls/38/index.m3u8
北京卫视,http://60.223.255.143:8800/hls/27/index.m3u8
南方卫视,http://113.86.205.8:8090/hls/109/index.m3u8
厦门卫视,http://114.104.171.233:20080/hls/46/index.m3u8
厦门卫视,http://123.10.79.100:808/hls/69/index.m3u8
厦门卫视,http://123.10.79.123:808/hls/69/index.m3u8
厦门卫视,http://123.10.77.222:808/hls/69/index.m3u8
吉林卫视,http://60.223.255.143:8800/hls/97/index.m3u8
吉林卫视,http://182.123.78.91:8090/hls/39/index.m3u8
吉林卫视,http://58.17.48.228:808/hls/56/index.m3u8
